               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 133,            0.011293,            0.006031,          0.00094341,              0.9945,                   1,               0.995,             0.92394,           0.0032918,           0.0023658,          0.00017244,            0.005644,            0.005644,            0.005644
                 134,            0.012171,           0.0063697,          0.00072382,              0.9931,                   1,               0.995,             0.92097,           0.0038326,           0.0027347,          0.00017088,            0.005611,            0.005611,            0.005611
                 135,            0.010714,           0.0057621,           0.0016302,             0.99411,                   1,               0.995,             0.91774,           0.0027075,           0.0026463,          0.00016131,            0.005578,            0.005578,            0.005578
                 136,            0.011626,           0.0059882,           0.0012618,             0.99411,                   1,               0.995,               0.925,           0.0024148,           0.0022831,          0.00014915,            0.005545,            0.005545,            0.005545
                 137,            0.010714,           0.0056066,          0.00093383,             0.99398,                   1,               0.995,             0.88557,            0.003704,            0.002389,          0.00016295,            0.005512,            0.005512,            0.005512
                 138,            0.010466,           0.0057292,           0.0006227,             0.99333,                   1,               0.995,             0.89602,           0.0030307,           0.0022816,          0.00025094,            0.005479,            0.005479,            0.005479
                 139,            0.011927,            0.006071,          0.00056995,             0.99268,                   1,               0.995,             0.87615,           0.0035759,           0.0026037,          0.00024986,            0.005446,            0.005446,            0.005446
                 140,            0.010625,           0.0059189,           0.0006425,             0.99392,                   1,               0.995,             0.90828,           0.0028227,           0.0026558,           0.0002031,            0.005413,            0.005413,            0.005413
                 141,           0.0097713,           0.0056923,          0.00057611,             0.99107,                   1,               0.995,             0.90848,           0.0030756,           0.0028669,          0.00017605,             0.00538,             0.00538,             0.00538
                 142,            0.010388,           0.0058271,            0.001414,             0.99101,                   1,               0.995,             0.91775,           0.0023568,           0.0026245,           0.0001709,            0.005347,            0.005347,            0.005347
                 143,            0.010953,           0.0057476,           0.0019331,             0.99261,                   1,               0.995,             0.89615,           0.0025593,            0.002582,          0.00017608,            0.005314,            0.005314,            0.005314
                 144,            0.012144,           0.0060919,           0.0018692,             0.99419,                   1,               0.995,             0.91753,            0.002318,           0.0024377,          0.00017557,            0.005281,            0.005281,            0.005281
                 145,            0.010943,           0.0060213,           0.0011724,             0.99455,                   1,               0.995,             0.92112,           0.0023756,           0.0022579,          0.00017824,            0.005248,            0.005248,            0.005248
                 146,            0.010323,           0.0059727,          0.00076577,               0.994,                   1,               0.995,             0.93582,           0.0023966,           0.0022374,          0.00016692,            0.005215,            0.005215,            0.005215
                 147,            0.011053,           0.0058236,          0.00061552,             0.99371,                   1,               0.995,              0.9316,           0.0024728,           0.0022246,          0.00016667,            0.005182,            0.005182,            0.005182
                 148,            0.010524,           0.0056922,          0.00081374,             0.99378,                   1,               0.995,             0.87951,           0.0039026,            0.002526,          0.00017494,            0.005149,            0.005149,            0.005149
                 149,            0.011057,           0.0058116,           0.0016096,             0.99415,                   1,               0.995,             0.92614,           0.0023847,           0.0023034,          0.00016801,            0.005116,            0.005116,            0.005116
                 150,           0.0094202,           0.0055005,          0.00091843,             0.99229,                   1,               0.995,             0.89745,           0.0024835,           0.0022914,          0.00015494,            0.005083,            0.005083,            0.005083
                 151,            0.011985,           0.0059538,          0.00072783,             0.99222,                   1,               0.995,             0.94297,           0.0021747,           0.0021779,          0.00015634,             0.00505,             0.00505,             0.00505
                 152,              0.0119,           0.0057844,          0.00083076,             0.99033,                   1,               0.995,             0.90828,           0.0032244,           0.0024752,          0.00016114,            0.005017,            0.005017,            0.005017
                 153,            0.010927,           0.0058049,           0.0016879,             0.99216,                   1,               0.995,             0.93183,           0.0024565,           0.0024589,          0.00016559,            0.004984,            0.004984,            0.004984
